START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/11/17,,,Orioles at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/11/17,06/11/17,,,FALSE,TRUE,06/11/17,,,FREE,BUSY
06/12/17,10:07 PM,10:07 PM,Yankees at Angels,Angel Stadium of Anaheim - Anaheim,"",06/13/17,06/13/17,01:07 AM,01:07 AM,FALSE,TRUE,06/12/17,09:07 PM,09:07 PM,FREE,BUSY
06/13/17,10:07 PM,10:07 PM,Yankees at Angels,Angel Stadium of Anaheim - Anaheim,"",06/14/17,06/14/17,01:07 AM,01:07 AM,FALSE,TRUE,06/13/17,09:07 PM,09:07 PM,FREE,BUSY
06/14/17,10:07 PM,10:07 PM,Yankees at Angels,Angel Stadium of Anaheim - Anaheim,"",06/15/17,06/15/17,01:07 AM,01:07 AM,FALSE,TRUE,06/14/17,09:07 PM,09:07 PM,FREE,BUSY
06/15/17,10:05 PM,10:05 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"",06/16/17,06/16/17,01:05 AM,01:05 AM,FALSE,TRUE,06/15/17,09:05 PM,09:05 PM,FREE,BUSY
06/16/17,09:35 PM,09:35 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"",06/17/17,06/17/17,12:35 AM,12:35 AM,FALSE,TRUE,06/16/17,08:35 PM,08:35 PM,FREE,BUSY
06/17/17,04:05 PM,04:05 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"",06/17/17,06/17/17,07:05 PM,07:05 PM,FALSE,TRUE,06/17/17,03:05 PM,03:05 PM,FREE,BUSY
06/18/17,04:05 PM,04:05 PM,Yankees at Athletics,Oakland Coliseum - Oakland,"",06/18/17,06/18/17,07:05 PM,07:05 PM,FALSE,TRUE,06/18/17,03:05 PM,03:05 PM,FREE,BUSY
06/20/17,,,Angels at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/20/17,06/20/17,,,FALSE,TRUE,06/20/17,,,FREE,BUSY
06/21/17,,,Angels at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/21/17,06/21/17,,,FALSE,TRUE,06/21/17,,,FREE,BUSY
06/22/17,,,Angels at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/22/17,06/22/17,,,FALSE,TRUE,06/22/17,,,FREE,BUSY
06/23/17,,,Rangers at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/23/17,06/23/17,,,FALSE,TRUE,06/23/17,,,FREE,BUSY
06/24/17,,,Rangers at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/24/17,06/24/17,,,FALSE,TRUE,06/24/17,,,FREE,BUSY
